Date, Race, Poll, Results, Votes, Spread
Wednesday March 21,Direction of Country,Economist/YouGov,Right,Direction,35,Wrong Track +19
Wednesday March 21,Direction of Country,Economist/YouGov,Wrong,Track,54,Wrong Track +19
Tuesday March 20,Florida Senate - Scott vs. Nelson,Gravis,Nelson,44,Nelson +4
Tuesday March 20,Florida Senate - Scott vs. Nelson,Gravis,Scott,40,Nelson +4
Monday March 19,New York Senate - Farley vs. Gillibrand,Siena,Gillibrand,60,Gillibrand +36
Monday March 19,New York Senate - Farley vs. Gillibrand,Siena,Farley,24,Gillibrand +36
Monday March 19,President Trump Job Approval,Gallup,Approve,40,Disapprove +16
Monday March 19,President Trump Job Approval,Gallup,Disapprove,56,Disapprove +16
Monday March 19,Congressional Job Approval,Gallup,Approve,15,Disapprove +64
Monday March 19,Congressional Job Approval,Gallup,Disapprove,79,Disapprove +64
Monday March 19,Direction of Country,Rasmussen Reports,Right,Direction,41,Wrong Track +12
Monday March 19,Direction of Country,Rasmussen Reports,Wrong,Track,53,Wrong Track +12
Monday March 19,New York Governor - Democratic Primary,Siena,Cuomo,66,Cuomo +47
Monday March 19,New York Governor - Democratic Primary,Siena,Nixon,19,Cuomo +47
Monday March 19,New York Governor - Republican Primary,Siena,DeFrancisco,21,DeFrancisco +4
Monday March 19,New York Governor - Republican Primary,Siena,Molinaro,17,DeFrancisco +4
Monday March 19,New York Governor - DeFrancisco vs. Cuomo,Siena,Cuomo,57,Cuomo +29
Monday March 19,New York Governor - DeFrancisco vs. Cuomo,Siena,DeFrancisco,28,Cuomo +29
Monday March 19,New York Governor - Molinaro vs. Cuomo,Siena,Cuomo,57,Cuomo +28
Monday March 19,New York Governor - Molinaro vs. Cuomo,Siena,Molinaro,29,Cuomo +28
